estado,marcas,nome_da_revenda,pontas,price,manufacturer,group,ano,regiao
GO,Magnojet;,AGRIPEÇAS,ST,28,MAGNOJET,3,2021,Centro-Oeste
MT,Magnojet;,MULTPEÇAS,BD,13,MAGNOJET,2,2021,Centro-Oeste
MT,Magnojet;,MULTPEÇAS,MGA,28,MAGNOJET,1,2021,Centro-Oeste
MT,Magnojet;,MULTPEÇAS,ST,33,MAGNOJET,3,2021,Centro-Oeste
TO,Magnojet;,UNICAMPO MÁQUINAS,MGA,27,MAGNOJET,1,2021,Norte
TO,Magnojet;,UNICAMPO MÁQUINAS,ST,28,MAGNOJET,3,2021,Norte
BA,Magnojet;,OESTE PULVERIZAÇÃO,MGA,23,MAGNOJET,1,2021,Nordeste
BA,Magnojet;,OESTE PULVERIZAÇÃO,ST,24,MAGNOJET,3,2021,Nordeste
TO,Jacto;,SONORA,AXI,21,JACTO,2,2021,Norte
TO,Jacto;,SONORA,JA,24,JACTO,1,2021,Norte
TO,Jacto;,SONORA,JTT,27,JACTO,3,2021,Norte
BA,Magnojet;,JB PULVERIZAÇÃO,MGA,22,MAGNOJET,1,2021,Nordeste
BA,Magnojet;,JB PULVERIZAÇÃO,ST,21,MAGNOJET,3,2021,Nordeste
TO,Magnojet;,FORTE PEÇAS AGRÍCOLAS,MGA,27,MAGNOJET,1,2021,Norte
TO,Magnojet;,FORTE PEÇAS AGRÍCOLAS,ST,27,MAGNOJET,3,2021,Norte
TO,Magnojet;,AMAGRIL,MGA,33,MAGNOJET,1,2021,Norte
TO,Magnojet;,AMAGRIL,ST,37,MAGNOJET,3,2021,Norte
PI,Magnojet;,VISÃO AGRÍCOLA,MGA,23,MAGNOJET,1,2021,Nordeste
PI,Magnojet;,VISÃO AGRÍCOLA,ST,24,MAGNOJET,3,2021,Nordeste
PR,Outras;,MAQUISOLO,XR-VK,20.7,TEEJET,2,2021,Sul
PR,Outras;,MAQUISOLO,TXA,21.8,TEEJET,1,2021,Sul
PR,Outras;,MAQUISOLO,TT-VP,20.4,TEEJET,3,2021,Sul
PR,Outras;,MAQUISOLO,TTJ60,24.2,TEEJET,4,2021,Sul
PR,Outras;,MAQUISOLO,AIXR-VK,34,TEEJET,5,2021,Sul
PR,Outras;,MAQUISOLO,TTI,63.8,TEEJET,6,2021,Sul
PR,TeeJet;Jacto;Magnojet;,COAMO,TTI,63.13,TEEJET,6,2021,Sul
PR,Magnojet;,COCARI,BD,10.5,MAGNOJET,2,2021,Sul
PR,Magnojet;,COCARI,MAG,12.5,MAGNOJET,1,2021,Sul
PR,Magnojet;,COCARI,MGA,24,MAGNOJET,1,2021,Sul
PR,Magnojet;,COCARI,ST,32.5,MAGNOJET,3,2021,Sul
PR,Magnojet;,COCARI,AD-IA,35,MAGNOJET,5,2021,Sul
SP,Magnojet;,AGRO TERRA PULVERIZADOR E MÁQUINAS,BD,10,MAGNOJET,2,2021,Sudeste
