estado,marcas,nome_da_revenda,pontas,price,manufacturer,group,ano,regiao
MS,TeeJet;,COMO,TT-VP,23,TEEJET,3,2022,Centro-Oeste
MS,TeeJet;,COMO,TTJ60,24.01,TEEJET,4,2022,Centro-Oeste
MS,TeeJet;,COMO,AIXR-VK,36,TEEJET,5,2022,Centro-Oeste
MS,TeeJet;,COMO,TTI,60,TEEJET,6,2022,Centro-Oeste
GO,TeeJet;,ALESSANDRO,BD,16,MAGNOJET,2,2022,Centro-Oeste
GO,Magnojet;Jacto;,CASEMAQ,ST,26.51,MAGNOJET,3,2022,Centro-Oeste
Online,NA,CANAL AGRICOLA,TXA,23.24,TEEJET,1,2021,Online
Online,NA,CANAL AGRICOLA,TXA,34.46,TEEJET,1,2022,Online
Online,NA,HERBICAT,TXA,22.23,TEEJET,1,2022,Online
Online,NA,CANAL AGRICOLA,XR-VK,42.24,TEEJET,2,2021,Online
Online,NA,CANAL AGRICOLA,XR-VK,27.18,TEEJET,2,2022,Online
Online,NA,HERBICAT,XR-VK,47.56,TEEJET,2,2022,Online
Online,NA,CANAL AGRICOLA,TT-VP,21.47,TEEJET,3,2021,Online
Online,NA,CANAL AGRICOLA,TT-VP,32.15,TEEJET,3,2022,Online
Online,NA,HERBICAT,TT-VP,20.72,TEEJET,3,2022,Online
Online,NA,CANAL AGRICOLA,TTJ60,20.36,TEEJET,4,2021,Online
Online,NA,CANAL AGRICOLA,TTJ60,41.17,TEEJET,4,2022,Online
Online,NA,HERBICAT,TTJ60,24.86,TEEJET,4,2022,Online
Online,NA,CANAL AGRICOLA,AIXR-VK,61.75,TEEJET,5,2021,Online
Online,NA,CANAL AGRICOLA,TTI,76.54,TEEJET,6,2021,Online
Online,NA,CANAL AGRICOLA,TTI,59.78,TEEJET,6,2022,Online
Online,NA,HERBICAT,TTI,44.68,TEEJET,6,2022,Online
Online,NA,CANAL AGRICOLA,BD,10.27,MAGNOJET,2,2021,Online
Online,NA,CANAL AGRICOLA,BD,11.48,MAGNOJET,2,2022,Online
Online,NA,DRS PULVERIZADORES,BD,9.96,MAGNOJET,2,2022,Online
Online,NA,CANAL AGRICOLA,MGA,19.32,MAGNOJET,1,2021,Online
Online,NA,CANAL AGRICOLA,MGA,24.83,MAGNOJET,1,2022,Online
Online,NA,DRS PULVERIZADORES,MGA,21.54,MAGNOJET,1,2022,Online
Online,NA,CANAL AGRICOLA,MAG,9.42,MAGNOJET,1,2021,Online
Online,NA,CANAL AGRICOLA,MAG,11,MAGNOJET,1,2022,Online
Online,NA,DRS PULVERIZADORES,MAG,9.58,MAGNOJET,1,2022,Online
Online,NA,CANAL AGRICOLA,ST,21.06,MAGNOJET,3,2021,Online
Online,NA,CANAL AGRICOLA,ST,27.08,MAGNOJET,3,2022,Online
Online,NA,DRS PULVERIZADORES,ST,27.8,MAGNOJET,3,2022,Online
Online,NA,CANAL AGRICOLA,ST-D,27.9,MAGNOJET,4,2021,Online
