"";"estado";"marcas";"nome_da_revenda";"pontas";"price";"manufacturer";"group";"ano";"regiao"
"377";"Online";NA;"JACTO";"AXI";29,11;"JACTO";"2";"2022";"Online"
"378";"Online";NA;"JACTO";"JA";23,12;"JACTO";"1";"2022";"Online"
"379";"Online";NA;"JACTO";"ATR";40,82;"JACTO";"1";"2022";"Online"
"380";"Online";NA;"JACTO";"J3D";105,39;"JACTO";"3";"2022";"Online"
"381";"Online";NA;"JACTO";"JTT";32,34;"JACTO";"3";"2022";"Online"
"382";"Online";NA;"JACTO";"AVI";75,88;"JACTO";"5";"2022";"Online"
"383";"Online";NA;"JACTO";"CVI";92,68;"JACTO";"5";"2022";"Online"
"384";"Online";NA;"JACTO";"JMD";105,39;"JACTO";"6";"2022";"Online"
"385";"Online";"Jacto;TeeJet;Magnojet;Hypro;";"CANAL AGRÍCOLA";"TTI-cap";84,94;"DEEJET";"6";"2021";"Online"
"386";"Online";"TeeJet;";"HERBICAT";"TTI-cap";68,63;"DEEJET";"6";"2021";"Online"
"387";"PR";"TeeJet;Jacto;Magnojet;";"COAMO";"TTI-cap";71,57;"DEEJET";"6";"2021";"Sul"
"388";"PR";"Jacto;TeeJet;";"COOPERATIVA AGRARIA";"TTI-cap";78,25;"DEEJET";"6";"2021";"Sul"
"389";"PR";"TeeJet;Magnojet;";"MAQUISOLO";"TTI-cap";83,4;"DEEJET";"6";"2021";"Sul"
"390";"PR";"Outras;";"MAQUISOLO";"TTI-cap";72,2;"DEEJET";"6";"2021";"Sul"
"391";"PR";"TeeJet;Jacto;Magnojet;";"COAMO";"TTI-cap";71,53;"DEEJET";"6";"2021";"Sul"
"392";"PR";"TeeJet;Jacto;Magnojet;";"COAMO";"TTI-cap";77,4;"DEEJET";"6";"2021";"Sul"
"393";"PR";"TeeJet;";"GLOBAL TRATORES";"TTI-cap";78,56;"DEEJET";"6";"2021";"Sul"
"394";"GO";"TeeJet;";"SPRAYER COM";"TTI-cap";75,73;"DEEJET";"6";"2021";"Centro-Oeste"
