"";"estado";"marcas";"nome_da_revenda";"pontas";"price";"manufacturer";"group";"ano";"regiao"
"192";"GO";"TeeJet;";"SPRAYERCOM";"TTI";67,33;"TEEJET";"6";"2021";"Centro-Oeste"
"193";"MG";"TeeJet;";"MAQNELSON";"TT-VP";24,75;"TEEJET";"3";"2021";"Sudeste"
"194";"MG";"TeeJet;";"MAQNELSON";"TTI";48,15;"TEEJET";"6";"2021";"Sudeste"
"195";"MG";"TeeJet;";"MAQNELSON";"TTJ60";29,38;"TEEJET";"4";"2021";"Sudeste"
"196";"GO";"Magnojet;";"A CAMARGO";"MAG";13,31;"MAGNOJET";"1";"2021";"Centro-Oeste"
"197";"GO";"Magnojet;";"A CAMARGO";"MGA";30,04;"MAGNOJET";"1";"2021";"Centro-Oeste"
"198";"GO";"Magnojet;";"A CAMARGO";"ST";25,83;"MAGNOJET";"3";"2021";"Centro-Oeste"
"199";"GO";"Magnojet;";"A CAMARGO";"AD-IA";34,16;"MAGNOJET";"5";"2021";"Centro-Oeste"
"200";"GO";"TeeJet;";"MAQNELSON";"TTJ60";29,38;"TEEJET";"4";"2021";"Centro-Oeste"
"201";"GO";"TeeJet;";"MAQNELSON";"TTI";48,15;"TEEJET";"6";"2021";"Centro-Oeste"
"202";"MG";"TeeJet;";"MAQNELSON";"TTJ60";29,35;"TEEJET";"4";"2021";"Sudeste"
"203";"MG";"TeeJet;";"DUSIQUEIRA";"AIXR-VK";43;"TEEJET";"5";"2021";"Sudeste"
"204";"MG";"TeeJet;";"MINAS VERDE";"TTJ60";29,38;"TEEJET";"4";"2021";"Sudeste"
"205";"MG";"TeeJet;";"MINAS VERDE";"TTI";48,15;"TEEJET";"6";"2021";"Sudeste"
"206";"MG";"TeeJet;";"TREVISO";"TT-VP";24,75;"TEEJET";"3";"2021";"Sudeste"
"207";"MG";"TeeJet;";"TREVISO";"TTI";48,2;"TEEJET";"6";"2021";"Sudeste"
"208";"GO";"TeeJet;";"CASA DO PICA PAU";"TT-VP";24,6;"TEEJET";"3";"2021";"Centro-Oeste"
"209";"GO";"TeeJet;";"CASA DO PICA PAU";"TTJ60";29,5;"TEEJET";"4";"2021";"Centro-Oeste"
"210";"GO";"TeeJet;";"MAQNELSON";"TTJ60";29,3;"TEEJET";"4";"2021";"Centro-Oeste"
"211";"GO";"TeeJet;";"MAQNELSON";"TTI";48,2;"TEEJET";"6";"2021";"Centro-Oeste"
"212";"PR";"TeeJet;";"TESTE";"TXA";20,01;"TEEJET";"1";"2022";"Sul"
"213";"PR";"TeeJet;";"TESTE";"XR-VK";18,01;"TEEJET";"2";"2022";"Sul"
"214";"PR";"TeeJet;";"TESTE";"TT-VP";20,01;"TEEJET";"3";"2022";"Sul"
"215";"PR";"TeeJet;";"TESTE";"TTJ60";22,01;"TEEJET";"4";"2022";"Sul"
"216";"PR";"TeeJet;";"TESTE";"AIXR-VK";40;"TEEJET";"5";"2022";"Sul"
"217";"PR";"TeeJet;";"TESTE";"TTI";49,5;"TEEJET";"6";"2022";"Sul"
"218";"PR";"TeeJet;";"TESTE";"BD";16;"MAGNOJET";"2";"2022";"Sul"
"219";"PR";"TeeJet;";"TESTE";"MAG";11,5;"MAGNOJET";"1";"2022";"Sul"
"220";"PR";"TeeJet;";"TESTE";"MGA";24,01;"MAGNOJET";"1";"2022";"Sul"
"221";"PR";"TeeJet;";"TESTE";"ST";26,51;"MAGNOJET";"3";"2022";"Sul"
"222";"PR";"TeeJet;";"TESTE";"ST-D";29,51;"MAGNOJET";"4";"2022";"Sul"
"223";"PR";"TeeJet;";"TESTE";"STIA";38,5;"MAGNOJET";"8";"2022";"Sul"
"224";"PR";"TeeJet;";"TESTE";"MUG";55;"MAGNOJET";"6";"2022";"Sul"
"225";"PR";"TeeJet;Jacto;";"MACCAMPO";"TXA";18,01;"TEEJET";"1";"2022";"Sul"
"226";"PR";"TeeJet;Jacto;";"MACCAMPO";"XR-VK";20,01;"TEEJET";"2";"2022";"Sul"
"227";"PR";"TeeJet;Jacto;";"MACCAMPO";"TT-VP";22,01;"TEEJET";"3";"2022";"Sul"
"228";"PR";"TeeJet;Jacto;";"MACCAMPO";"TTJ60";25,01;"TEEJET";"4";"2022";"Sul"
"229";"PR";"TeeJet;Jacto;";"MACCAMPO";"AIXR-VK";40;"TEEJET";"5";"2022";"Sul"
"230";"PR";"TeeJet;Jacto;";"MACCAMPO";"TTI";49,5;"TEEJET";"6";"2022";"Sul"
"231";"PR";"TeeJet;Jacto;";"MACCAMPO";"APTJ";62,5;"TEEJET";"7";"2022";"Sul"
"232";"PR";"TeeJet;Jacto;";"MACCAMPO";"BD";15;"MAGNOJET";"2";"2022";"Sul"
"233";"PR";"TeeJet;Jacto;";"MACCAMPO";"MAG";10,5;"MAGNOJET";"1";"2022";"Sul"
"234";"PR";"TeeJet;Jacto;";"MACCAMPO";"MGA";24,01;"MAGNOJET";"1";"2022";"Sul"
"235";"PR";"TeeJet;Jacto;";"MACCAMPO";"ST";35,5;"MAGNOJET";"3";"2022";"Sul"
"236";"PR";"TeeJet;Jacto;";"MACCAMPO";"ST-D";35,5;"MAGNOJET";"4";"2022";"Sul"
"237";"PR";"TeeJet;Jacto;";"MACCAMPO";"STIA";41,5;"MAGNOJET";"8";"2022";"Sul"
"238";"PR";"TeeJet;Jacto;";"MACCAMPO";"MUG";65;"MAGNOJET";"6";"2022";"Sul"
"239";"PR";"TeeJet;Jacto;";"MACCAMPO";"AXI";21,01;"JACTO";"2";"2022";"Sul"
"240";"PR";"TeeJet;Jacto;";"MACCAMPO";"JA";19,01;"JACTO";"1";"2022";"Sul"
"241";"PR";"TeeJet;Jacto;";"MACCAMPO";"ATR";22,01;"JACTO";"1";"2022";"Sul"
"242";"PR";"TeeJet;Jacto;";"MACCAMPO";"J3D";57,5;"JACTO";"3";"2022";"Sul"
"243";"PR";"TeeJet;Jacto;";"MACCAMPO";"JTT";18,01;"JACTO";"3";"2022";"Sul"
"244";"PR";"TeeJet;Jacto;";"MACCAMPO";"AVI";67,5;"JACTO";"5";"2022";"Sul"
"245";"PR";"TeeJet;Jacto;";"MACCAMPO";"CVI";70;"JACTO";"5";"2022";"Sul"
"246";"PR";"TeeJet;Jacto;";"MACCAMPO";"JMD";55;"JACTO";"6";"2022";"Sul"
"247";"MG";"TeeJet;";"DUSIQUEIRA";"TXA";23;"TEEJET";"1";"2022";"Sudeste"
"248";"MG";"TeeJet;";"DUSIQUEIRA";"XR-VK";23;"TEEJET";"2";"2022";"Sudeste"
"249";"MG";"TeeJet;";"DUSIQUEIRA";"TT-VP";23;"TEEJET";"3";"2022";"Sudeste"
"250";"MG";"TeeJet;";"DUSIQUEIRA";"TTJ60";25;"TEEJET";"4";"2022";"Sudeste"
"251";"MG";"TeeJet;";"DUSIQUEIRA";"AIXR-VK";38;"TEEJET";"5";"2022";"Sudeste"
